number,title,TXT path,EPUB path,metadata path,word count,status,model
0,The Gate at Kestrel Falling,The_Meridian_Cycle/txt/Book_0_The_Gate_at_Kestrel_Falling.txt,The_Meridian_Cycle/epub/Book_0_The_Gate_at_Kestrel_Falling.epub,The_Meridian_Cycle/metadata/Book_0_The_Gate_at_Kestrel_Falling_metadata.json,141401,complete_txt_epub_available,gpt-5.5
1,Beneath the Reef of Glass,The_Meridian_Cycle/txt/Book_1_Beneath_the_Reef_of_Glass.txt,The_Meridian_Cycle/epub/Book_1_Beneath_the_Reef_of_Glass.epub,The_Meridian_Cycle/metadata/Book_1_Beneath_the_Reef_of_Glass_metadata.json,142445,complete_txt_epub_available,gpt-5.5
2,Children of the Red Algorithm,The_Meridian_Cycle/txt/Book_2_Children_of_the_Red_Algorithm.txt,The_Meridian_Cycle/epub/Book_2_Children_of_the_Red_Algorithm.epub,The_Meridian_Cycle/metadata/Book_2_Children_of_the_Red_Algorithm_metadata.json,141088,complete_txt_epub_available,gpt-5.5
3,The Long Orchard,The_Meridian_Cycle/txt/Book_3_The_Long_Orchard.txt,The_Meridian_Cycle/epub/Book_3_The_Long_Orchard.epub,The_Meridian_Cycle/metadata/Book_3_The_Long_Orchard_metadata.json,150377,complete_txt_epub_available,gpt-5.5
4,Warship Without a War,The_Meridian_Cycle/txt/Book_4_Warship_Without_a_War.txt,The_Meridian_Cycle/epub/Book_4_Warship_Without_a_War.epub,The_Meridian_Cycle/metadata/Book_4_Warship_Without_a_War_metadata.json,160046,complete_txt_epub_available,gpt-5.5
5,The Silence Around Lumen,The_Meridian_Cycle/txt/Book_5_The_Silence_Around_Lumen.txt,The_Meridian_Cycle/epub/Book_5_The_Silence_Around_Lumen.epub,The_Meridian_Cycle/metadata/Book_5_The_Silence_Around_Lumen_metadata.json,141377,complete_txt_epub_available,gpt-5.5
6,Every Door a Mirror,The_Meridian_Cycle/txt/Book_6_Every_Door_a_Mirror.txt,The_Meridian_Cycle/epub/Book_6_Every_Door_a_Mirror.epub,The_Meridian_Cycle/metadata/Book_6_Every_Door_a_Mirror_metadata.json,140022,complete_txt_epub_available,gpt-5.5
7,The Salt Parliament,The_Meridian_Cycle/txt/Book_7_The_Salt_Parliament.txt,The_Meridian_Cycle/epub/Book_7_The_Salt_Parliament.epub,The_Meridian_Cycle/metadata/Book_7_The_Salt_Parliament_metadata.json,140042,complete_txt_epub_available,gpt-5.5
8,Ashes of the Meridian,The_Meridian_Cycle/txt/Book_8_Ashes_of_the_Meridian.txt,The_Meridian_Cycle/epub/Book_8_Ashes_of_the_Meridian.epub,The_Meridian_Cycle/metadata/Book_8_Ashes_of_the_Meridian_metadata.json,140000,complete_txt_epub_available,gpt-5.5
9,The Moon That Remembered Fire,The_Meridian_Cycle/txt/Book_9_The_Moon_That_Remembered_Fire.txt,The_Meridian_Cycle/epub/Book_9_The_Moon_That_Remembered_Fire.epub,The_Meridian_Cycle/metadata/Book_9_The_Moon_That_Remembered_Fire_metadata.json,110000,complete_txt_epub_available,gpt-5.5
